Rank,Name,Revenues ($M),Revenue Percent Change,Profits ($M),Profits Percent Change,Assets ($M),Employees,Change in Rank,Years on Global 500 List
228,ING Group,"$60,401",25.70%,"$4,475.6",-64.90%,"$1,082,724.8","59,434",69,30
229,Merck,"$60,115",1.40%,$365,-97.50%,"$106,675","71,000",2,30
230,Bunge,"$59,540",-11.40%,"$2,243",39.30%,"$25,372","23,000",-36,22
231,Anheuser-Busch InBev,"$59,380",2.80%,"$5,341",-10.50%,"$219,340","1,54,540",10,19
232,Industrial Bank,"$59,152.3",-3%,"$10,893.3",-19.80%,"$1,431,193.6","66,569",-9,12
233,POSCO Holdings,"$58,999.2",-10.40%,"$1,300.3",-46.80%,"$78,342.4","44,501",-32,30
234,Panasonic Holdings,"$58,787.4",-5%,"$3,072",56.60%,"$62,235.1","2,28,420",-16,30
235,ConocoPhillips,"$58,574",-28.70%,"$10,957",-41.30%,"$95,924","9,900",-86,29
236,Pfizer,"$58,496",-41.70%,"$2,119",-93.30%,"$226,501","88,000",-134,30
237,Delta Air Lines,"$58,048",14.80%,"$4,609",249.70%,"$73,644","1,03,000",43,29
238,China Huaneng Group,"$57,890.8",-8.50%,"$1,632.1",45%,"$219,905.8","1,24,623",-29,16
239,China Energy Engineering Group,"$57,708.1",5.10%,$600,10.20%,"$112,892.8","1,19,182",17,11
240,Dongfeng Motor,"$57,595.9",-15.80%,$-391.6,-132.30%,"$71,051.6","1,22,658",-52,15
241,TD Synnex,"$57,555.4",-7.70%,$626.9,-3.80%,"$29,412.8","28,000",-26,4
242,Publix Super Markets,"$57,534",4.70%,"$4,349",49%,"$34,384","2,53,000",13,30
243,Zhejiang Hengyi Group,"$57,468",0.20%,$23.5,,"$18,826.8","22,417",1,4
244,Allstate,"$57,094",11.10%,$-188,,"$103,362","53,200",32,29
245,Assicurazioni Generali,"$57,022.6",-33.50%,"$4,050.7",32.30%,"$561,752.8","81,879",-108,30
246,Cisco Systems,"$56,998",10.60%,"$12,613",6.80%,"$101,852","84,900",28,25
247,Repsol,"$56,980.5",-21.40%,"$3,424.8",-23.40%,"$68,072.7","23,943",-69,30
248,Lenovo Group,"$56,863.8",-8.20%,"$1,010.5",-37.20%,"$38,751","69,500",-31,15
249,HBIS Group,"$56,728.3",-4.80%,$23.7,-52.20%,"$76,868.2","97,802",-20,16
250,Contemporary Amperex Technology,"$56,632.8",15.90%,"$6,232.5",36.40%,"$101,040.9","1,16,055",42,2
251,Renault,"$56,621.6",13.40%,"$2,376.2",,"$134,651","1,05,497",35,30
252,Banco Bradesco,"$56,490.5",9.50%,"$2,854.2",-29.80%,"$397,255.5","79,583",21,28
253,China Electronics Technology Group,"$56,083.8",0.40%,"$2,563",-3.80%,"$92,803.8","2,41,097",-1,9
254,Nationwide,"$54,609.4",6.10%,$-45.2,-104.60%,"$290,615","24,118",21,30
255,Charter Communications,"$54,607",1.10%,"$4,557",-9.90%,"$147,193","1,01,100",6,8
256,State Power Investment,"$54,484.6",0.90%,"$1,615.9",117.30%,"$247,045.1","1,27,514",6,13
257,Edeka Zentrale,"$54,454.6",10.10%,$461.7,2.70%,"$11,957.2","4,10,700",31,26
258,Bharat Petroleum,"$54,413.1",-8%,"$3,245.4",1122.90%,"$24,287.9","8,511",-25,21
259,AbbVie,"$54,318",-6.40%,"$4,863",-58.90%,"$134,711","50,000",-19,9
260,New York Life Insurance,"$54,317.2",-7.10%,$804.6,,"$408,904.9","15,384",-22,30
261,Intel,"$54,228",-14%,"$1,689",-78.90%,"$191,572","1,24,800",-50,30
262,TJX,"$54,217",8.60%,"$4,474",27.90%,"$29,747","3,49,000",23,23
263,Novartis,"$54,088",4.40%,"$14,850",113.50%,"$99,945","76,057",8,30
264,Rio Tinto Group,"$54,041",-2.70%,"$10,058",-19%,"$103,549","57,174",-10,19
265,Tsingshan Holding Group,"$53,980",-1.30%,"$1,554.2",6.70%,"$20,646.7","1,07,805",-8,6
266,Prudential Financial,"$53,979",-10.10%,"$2,488",,"$721,123","40,366",-39,30
